timestamp,latitude,longitude,elevation
2019-04-06T13:54:40Z,35.2037636,-86.8733152,217.374
2019-04-06T13:54:46Z,35.2052336,-86.8745527,199.616
2019-04-06T13:54:51Z,35.206419,-86.8755965,201.984
2019-04-06T13:54:56Z,35.2076218,-86.8766404,205.385
2019-04-06T13:55:02Z,35.2090546,-86.877896,206.252
2019-04-06T13:55:08Z,35.2104941,-86.8791651,207.431
2019-04-06T13:55:14Z,35.2119423,-86.8804127,204.203
2019-04-06T13:55:19Z,35.21312,-86.8814511,206.482
2019-04-06T13:55:24Z,35.2143138,-86.8825223,207.887
2019-04-06T13:55:30Z,35.2157821,-86.8838841,209.503
2019-04-06T13:55:36Z,35.2172648,-86.8851986,211.415
2019-04-06T13:55:42Z,35.2187478,-86.8865077,213.516
2019-04-06T13:55:48Z,35.2203641,-86.8876323,216.371
2019-04-06T13:55:54Z,35.2221385,-86.8882455,222.118
2019-04-06T13:55:59Z,35.2235974,-86.8884226,227.025
2019-04-06T13:56:04Z,35.2250811,-86.8882276,227.511
2019-04-06T13:56:09Z,35.2265258,-86.8878515,225.975
2019-04-06T13:56:15Z,35.2282576,-86.8874011,221.619
2019-04-06T13:56:20Z,35.2297135,-86.8870362,217.931
2019-04-06T13:56:25Z,35.2311922,-86.8868038,213.219
2019-04-06T13:56:31Z,35.232949,-86.8867683,209.144
2019-04-06T13:56:37Z,35.2346838,-86.8870412,210.709
2019-04-06T13:56:43Z,35.2363964,-86.8874943,211.722
2019-04-06T13:56:48Z,35.237854,-86.8877469,214.935
2019-04-06T13:56:54Z,35.2396194,-86.8878482,217.36
2019-04-06T13:57:00Z,35.2413928,-86.8876528,216.509
2019-04-06T13:57:06Z,35.2431063,-86.887216,218.089
2019-04-06T13:57:12Z,35.2447954,-86.886545,220.56
2019-04-06T13:57:18Z,35.2464122,-86.8856697,227.263
2019-04-06T13:57:23Z,35.2476933,-86.8848075,232.386
2019-04-06T13:57:29Z,35.249231,-86.8837559,234.787
2019-04-06T13:57:35Z,35.250831,-86.8829235,243.841
2019-04-06T13:57:41Z,35.2525875,-86.8827201,245.438
2019-04-06T13:57:47Z,35.2543704,-86.8827998,249.962
2019-04-06T13:57:52Z,35.2558398,-86.8828646,255.024
2019-04-06T13:57:57Z,35.2573259,-86.8829792,260.316
2019-04-06T13:58:03Z,35.2590774,-86.8830447,267.565
2019-04-06T13:58:09Z,35.2607904,-86.8835356,274.107
2019-04-06T13:58:15Z,35.2623054,-86.8846545,270.749
2019-04-06T13:58:21Z,35.2637612,-86.8859184,264.119
2019-04-06T13:58:27Z,35.2652034,-86.8871442,256.927
2019-04-06T13:58:33Z,35.2666219,-86.8883648,245.716
2019-04-06T13:58:39Z,35.2682006,-86.8894117,238.848
2019-04-06T13:58:45Z,35.2698728,-86.8900206,230.242
2019-04-06T13:58:51Z,35.2716357,-86.8901208,226.74
2019-04-06T13:58:56Z,35.2730674,-86.889829,228.591
2019-04-06T13:59:02Z,35.274719,-86.8890712,230.674
2019-04-06T13:59:08Z,35.2762637,-86.8880482,234.125
2019-04-06T13:59:14Z,35.2778502,-86.8871084,237.244
2019-04-06T13:59:20Z,35.2795334,-86.8863867,240.078
2019-04-06T13:59:25Z,35.2809851,-86.8859814,240.907
2019-04-06T13:59:31Z,35.2827312,-86.8856254,241.106
2019-04-06T13:59:36Z,35.2842052,-86.8853462,233.971
2019-04-06T13:59:42Z,35.2859291,-86.8850069,230.548
2019-04-06T13:59:48Z,35.2876766,-86.8846712,225.313
2019-04-06T13:59:54Z,35.2894306,-86.8843362,220.942
2019-04-06T14:00:00Z,35.291157,-86.8839807,223.319
2019-04-06T14:00:05Z,35.2926106,-86.8836981,226.085
2019-04-06T14:00:11Z,35.29435,-86.883354,228.933
2019-04-06T14:00:17Z,35.2960956,-86.8830161,234.492
2019-04-06T14:00:22Z,35.2975621,-86.8827218,236.351
2019-04-06T14:00:28Z,35.2993188,-86.8824737,238.616
2019-04-06T14:00:34Z,35.3010822,-86.8823672,240.895
2019-04-06T14:00:39Z,35.3025571,-86.8823315,241.909
2019-04-06T14:00:45Z,35.3043146,-86.8822996,244.04
2019-04-06T14:00:50Z,35.3057893,-86.8822504,244.56
2019-04-06T14:00:56Z,35.3075576,-86.8821975,244.224
2019-04-06T14:01:02Z,35.3093441,-86.8821507,241.481
2019-04-06T14:01:08Z,35.3111082,-86.8821,240.38
2019-04-06T14:01:14Z,35.312867,-86.8820528,233.944
2019-04-06T14:01:19Z,35.31435,-86.8820172,230.657
2019-04-06T14:01:24Z,35.3158277,-86.8819726,228.13
2019-04-06T14:01:30Z,35.317595,-86.881931,226.211
2019-04-06T14:01:36Z,35.3193434,-86.881871,224.093
2019-04-06T14:01:41Z,35.3208066,-86.8817557,226.786
2019-04-06T14:01:46Z,35.3222708,-86.8816168,227.633
2019-04-06T14:01:52Z,35.3240482,-86.881469,227.468
2019-04-06T14:01:57Z,35.3255235,-86.8813472,228.772
2019-04-06T14:02:03Z,35.327288,-86.8812182,229.696
2019-04-06T14:02:08Z,35.3287402,-86.8811043,232.357
2019-04-06T14:02:14Z,35.3305244,-86.8809682,237.617
2019-04-06T14:02:20Z,35.3322723,-86.8807613,241.612
2019-04-06T14:02:26Z,35.3340032,-86.8803399,242.602
2019-04-06T14:02:32Z,35.3357254,-86.8797376,244.398
2019-04-06T14:02:37Z,35.337126,-86.8791904,243.41
2019-04-06T14:02:43Z,35.3388099,-86.8785391,240.691
2019-04-06T14:02:49Z,35.3405213,-86.8781346,236.346
